cycle number,Ewe/V
1,2.102600
2,2.098840
3,2.096110
4,2.093730
5,2.091760
6,2.090040
7,2.088650
8,2.087390
9,2.086260
10,2.085040
11,2.083930
12,2.083150
13,2.082250
14,2.081390
15,2.080650
16,2.079770
17,2.079020
18,2.078430
19,2.077900
20,2.077230
21,2.076480
22,2.076100
23,2.075490
24,2.074940
25,2.074350
26,2.073830
27,2.073350
28,2.072990
29,2.072510
30,2.072070
31,2.071630
32,2.071040
33,2.070760
34,2.070390
35,2.069780
36,2.069440
37,2.069190
38,2.068710
39,2.068480
40,2.068010
41,2.067720
42,2.067430
43,2.066920
44,2.066540
45,2.066230
46,2.065920
47,2.065540
48,2.065200
49,2.064930
50,2.064650
51,2.064380
52,2.064030
53,2.063860
54,2.063440
55,2.063160
56,2.062830
57,2.062560
58,2.062300
59,2.062030
60,2.061760
61,2.061570
62,2.061270
63,2.060900
64,2.060560
65,2.060350
66,2.060100
67,2.059740
68,2.059640
69,2.059320
70,2.059010
71,2.058860
72,2.058590
73,2.058400
74,2.058170
75,2.058020
76,2.057680
77,2.057330
78,2.057080
79,2.056950
80,2.056590
81,2.056420
82,2.056300
83,2.055960
84,2.055730
85,2.055520
86,2.055290
87,2.054950
88,2.054870
89,2.054560
90,2.054330
91,2.054160
92,2.053880
93,2.053740
94,2.053480
95,2.053230
96,2.053040
97,2.052690
98,2.052540
99,2.052270
100,2.052200
101,2.051810
102,2.051760
103,2.051470
104,2.051260
105,2.051070
106,2.050860
107,2.050570
108,2.050420
109,2.050320
110,2.050100
111,2.049830
112,2.049680
113,2.049520
114,2.049200
115,2.049030
116,2.048820
117,2.048640
118,2.048530
119,2.048240
120,2.048170
121,2.047800
122,2.047750
123,2.047440
124,2.047270
125,2.047100
126,2.047040
127,2.046640
128,2.046560
129,2.046370
130,2.046310
131,2.045970
132,2.045760
133,2.045590
134,2.045550
135,2.045210
136,2.045190
137,2.045020
138,2.044840
139,2.044650
140,2.044330
141,2.044230
142,2.044060
143,2.043850
144,2.043740
145,2.043680
146,2.043360
147,2.043240
148,2.043070
149,2.043110
150,2.042760
151,2.042690
152,2.042440
153,2.042340
154,2.042060
155,2.041900
156,2.041790
157,2.041640
158,2.041410
159,2.041310
160,2.041180
161,2.040990
162,2.040870
163,2.040590
164,2.040450
165,2.040550
166,2.040170
