cycle number,Ewe/V
1,2.172580
2,2.168080
3,2.164930
4,2.162350
5,2.160270
6,2.158360
7,2.156890
8,2.155630
9,2.154310
10,2.153360
11,2.152270
12,2.151370
13,2.150610
14,2.149770
15,2.149160
16,2.148510
17,2.147840
18,2.147250
19,2.146690
20,2.146200
21,2.145600
22,2.145200
23,2.144920
24,2.144570
25,2.143980
26,2.143600
27,2.143330
28,2.142890
29,2.142530
30,2.142170
31,2.141920
32,2.141630
33,2.141350
34,2.141040
35,2.140680
36,2.140350
37,2.140330
38,2.140030
39,2.139690
40,2.139590
41,2.139320
42,2.139040
43,2.138850
44,2.138540
45,2.138290
46,2.138120
47,2.137990
48,2.137780
49,2.137570
50,2.137340
51,2.137220
52,2.137010
53,2.136820
54,2.136610
55,2.136480
56,2.136290
57,2.136130
58,2.135980
59,2.135620
60,2.135640
61,2.135560
62,2.135350
63,2.135010
64,2.135160
65,2.134870
66,2.134740
67,2.134610
68,2.134400
69,2.134260
70,2.134110
71,2.133960
72,2.133820
73,2.133710
74,2.133670
75,2.133370
76,2.133420
77,2.133190
78,2.133120
79,2.132960
80,2.132890
81,2.132720
82,2.132620
83,2.132490
84,2.132260
85,2.132220
86,2.132200
87,2.132120
88,2.131820
89,2.131760
90,2.131780
91,2.131590
92,2.131420
93,2.131320
94,2.131280
95,2.131060
96,2.130880
97,2.130880
98,2.130830
99,2.130730
100,2.130600
101,2.130440
102,2.130630
103,2.130350
104,2.130230
105,2.130040
106,2.130020
107,2.129930
108,2.129780
109,2.129660
110,2.129620
111,2.129550
112,2.129450
113,2.129260
114,2.129090
115,2.129260
116,2.129130
117,2.129050
118,2.128820
119,2.128840
120,2.128780
121,2.128780
122,2.128610
123,2.128400
124,2.128360
125,2.128400
126,2.128270
127,2.128100
128,2.128150
129,2.128020
130,2.127900
131,2.127920
132,2.127770
133,2.127710
134,2.127560
135,2.127470
136,2.127470
137,2.127390
138,2.127270
139,2.127310
140,2.127220
141,2.127050
142,2.126990
143,2.126840
144,2.126930
145,2.126800
146,2.126850
147,2.126700
148,2.126610
149,2.126640
150,2.126430
151,2.126190
152,2.126260
153,2.126240
154,2.126240
155,2.126130
156,2.126030
157,2.126070
158,2.125960
159,2.125860
160,2.125820
161,2.125770
162,2.125650
163,2.125580
164,2.125480
165,2.125500
166,2.125310
167,2.125250
168,2.125250
169,2.125230
170,2.125230
171,2.125060
172,2.125000
173,2.124930
174,2.124910
175,2.124870
176,2.124720
177,2.124730
178,2.124680
179,2.124520
180,2.124600
181,2.124540
182,2.124390
183,2.124410
184,2.124220
185,2.124330
186,2.124220
187,2.124100
188,2.123970
189,2.124100
190,2.123910
191,2.123800
192,2.123890
193,2.123650
194,2.123780
195,2.123630
196,2.123650
197,2.123610
198,2.123550
199,2.123570
200,2.123470
201,2.123380
202,2.123340
203,2.123230
204,2.123110
205,2.123170
206,2.123190
207,2.123040
208,2.123090
209,2.122900
210,2.122880
211,2.122770
212,2.122690
