Q [mAh],V [V]
0.005317,2.077935
0.010633,1.94618
0.015948,1.899358
0.021265,1.858447
0.02658,1.843825
0.031896,1.834336
0.037212,1.827803
0.042527,1.823136
0.047843,1.817692
0.053158,1.811158
0.058475,1.807736
0.063791,1.808047
0.069107,1.800581
0.074424,1.79467
0.079739,1.787358
0.085056,1.778958
0.090372,1.767136
0.095687,1.760136
0.101003,1.756092
0.106318,1.752981
0.111635,1.749559
0.11695,1.745047
0.122265,1.738514
0.12758,1.728248
0.132895,1.714403
0.138211,1.69667
0.143528,1.674581
0.148844,1.64767
0.154159,1.617337
0.159474,1.584048
0.16479,1.550915
0.170106,1.521515
0.175421,1.494448
0.180738,1.468471
0.186052,1.444204
0.191367,1.42196
0.196683,1.401426
0.201998,1.383382
0.207313,1.364715
0.212629,1.346827
0.217946,1.330182
0.223263,1.313694
