Time [s],Voltage [V]
43200.003906,3.132442
55800.503906,2.685377
68400.5,2.6664
81001.0,2.648511
93601.007812,2.645089
106201.507812,2.646022
118802.007812,2.648822
131402.5,2.649911
144003.0,2.647578
156603.5,2.636378
169204.015625,2.591267
181804.515625,2.6006
194405.015625,2.546156
207005.015625,2.483778
219605.515625,2.378312
232206.015625,2.263512
244806.515625,2.12009
257407.015625,1.99658
270007.5,1.923625
282607.5,1.869803
295207.5,1.836825
307808.0,1.819714
320408.5,1.809292
333008.53125,1.801981
345609.03125,1.796847
358209.53125,1.793114
370810.03125,1.78907
383410.03125,1.784714
396010.53125,1.77927
408611.03125,1.771336
421211.53125,1.759359
433812.03125,1.743336
446412.53125,1.722181
459012.53125,1.695892
471613.03125,1.668048
484213.53125,1.639426
496814.03125,1.612203
509414.03125,1.584981
522014.53125,1.55947
534614.5,1.542048
547215.0,1.530537
559815.0,1.521359
572416.0,1.511248
