Time [s],Voltage [V]
45000.003906,2.077935
57600.503906,1.94618
70200.5,1.899358
82801.007812,1.858447
95401.007812,1.843825
108002.007812,1.834336
120602.007812,1.827803
133202.5,1.823136
145803.0,1.817692
158403.5,1.811158
171004.015625,1.807736
183604.515625,1.808047
196205.015625,1.800581
208805.515625,1.79467
221405.515625,1.787358
234006.515625,1.778958
246607.015625,1.767136
259207.015625,1.760136
271807.5,1.756092
284407.5,1.752981
297008.0,1.749559
309608.0,1.745047
322208.5,1.738514
334808.53125,1.728248
347409.03125,1.714403
360009.53125,1.69667
372610.03125,1.674581
385210.03125,1.64767
397810.53125,1.617337
410411.03125,1.584048
423011.53125,1.550915
435612.03125,1.521515
448212.53125,1.494448
460813.03125,1.468471
473413.03125,1.444204
486013.53125,1.42196
498614.03125,1.401426
511214.03125,1.383382
523814.53125,1.364715
536415.0,1.346827
549015.0,1.330182
561615.5,1.313694
574216.5,1.295182
