        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   3.122798,1.470846E-6,   0.002335
   3.105687,4.412539E-6,   0.007004
   3.088732,7.365767E-6,   0.011692
   3.064465,  1.0319E-5,   0.016379
   3.041132,1.327222E-5,   0.021067
   3.026354,1.622545E-5,   0.025755
   3.004732,1.917868E-5,   0.030442
   2.991043,2.213147E-5,   0.035129
   2.971443,2.508427E-5,   0.039816
   2.959154, 2.80375E-5,   0.044504
   2.947488,3.099072E-5,   0.049192
   2.931154,3.394352E-5,   0.053879
   2.920732,3.689631E-5,   0.058566
   2.906421,3.984954E-5,   0.063253
   2.893354,4.280277E-5,   0.067941
   2.885421,  4.5756E-5,   0.072629
   2.874221,4.870922E-5,   0.077316
   2.867532,5.166245E-5,   0.082004
   2.858199,5.461568E-5,   0.086692
   2.852288,5.756891E-5,   0.091379
   2.846843,6.052214E-5,   0.096067
   2.839221,6.347537E-5,   0.100755
   2.834555, 6.64286E-5,   0.105442
   2.828021,6.938182E-5,    0.11013
   2.821799,7.233505E-5,   0.114818
   2.818221,7.528785E-5,   0.119505
   2.812777, 7.82402E-5,   0.124191
    2.80951,  8.1193E-5,   0.128878
   2.804844,8.414623E-5,   0.133565
   2.801888,8.709945E-5,   0.138253
   2.799088,9.005268E-5,   0.142941
   2.795044,9.300591E-5,   0.147628
    2.79271,9.595914E-5,   0.152316
   2.789444,9.891237E-5,   0.157004
   2.786177,   0.000102,   0.161691
    2.78431,   0.000105,   0.166378
    2.78151,   0.000108,   0.171065
   2.779799,   0.000111,   0.175753
   2.777622,   0.000114,   0.180441
   2.776066,   0.000117,   0.185128
   2.774666,    0.00012,   0.189816
   2.772799,   0.000123,   0.194504
   2.770933,   0.000125,   0.199191
   2.769844,   0.000128,   0.203879
   2.768288,   0.000131,   0.208567
   2.767355,   0.000134,   0.213254
   2.765955,   0.000137,   0.217942
   2.765022,    0.00014,    0.22263
   2.763622,   0.000143,   0.227317
   2.762688,   0.000146,   0.232005
    2.76191,   0.000149,   0.236693
   2.760666,   0.000152,    0.24138
   2.759577,   0.000155,   0.246068
   2.758799,   0.000158,   0.250756
   2.757555,   0.000161,   0.255443
   2.756777,   0.000164,   0.260131
   2.755688,   0.000167,   0.264819
    2.75491,    0.00017,   0.269506
   2.753822,   0.000173,   0.274194
   2.753044,   0.000176,   0.278882
   2.752422,   0.000179,   0.283569
   2.751333,   0.000182,   0.288256
   2.750088,   0.000185,   0.292943
   2.749622,   0.000188,    0.29763
   2.748533,    0.00019,   0.302317
   2.747755,   0.000193,   0.307005
   2.746822,   0.000196,   0.311693
   2.746044,   0.000199,    0.31638
   2.745266,   0.000202,   0.321068
   2.744177,   0.000205,   0.325756
   2.743555,   0.000208,   0.330442
   2.742466,   0.000211,   0.335129
   2.741377,   0.000214,   0.339817
   2.740755,   0.000217,   0.344504
   2.739666,    0.00022,   0.349191
   2.739044,   0.000223,   0.353879
   2.737955,   0.000226,   0.358566
   2.737333,   0.000229,   0.363254
   2.736711,   0.000232,   0.367942
   2.735622,   0.000235,   0.372629
   2.734844,   0.000238,   0.377317
   2.733911,   0.000241,   0.382005
   2.732977,   0.000244,   0.386692
   2.732199,   0.000247,    0.39138
   2.731266,    0.00025,   0.396068
   2.730644,   0.000252,   0.400755
   2.729555,   0.000255,   0.405443
   2.729088,   0.000258,   0.410131
   2.728311,   0.000261,   0.414818
   2.727377,   0.000264,   0.419506
   2.726755,   0.000267,   0.424194
   2.725822,    0.00027,   0.428881
   2.724888,   0.000273,   0.433569
   2.724266,   0.000276,   0.438257
   2.723177,   0.000279,   0.442944
   2.722711,   0.000282,   0.447632
   2.721622,   0.000285,    0.45232
   2.720999,   0.000288,   0.457007
   2.720377,   0.000291,   0.461695
   2.719599,   0.000294,   0.466382
   2.718977,   0.000297,   0.471069
   2.718044,     0.0003,   0.475757
   2.717111,   0.000303,   0.480444
   2.716488,   0.000306,   0.485132
   2.715555,   0.000309,    0.48982
   2.714933,   0.000312,   0.494507
      2.714,   0.000314,   0.499195
   2.713377,   0.000317,   0.503883
   2.712755,    0.00032,    0.50857
   2.711822,   0.000323,   0.513258
     2.7112,   0.000326,   0.517946
   2.710422,   0.000329,   0.522633
   2.709488,   0.000332,   0.527321
   2.708866,   0.000335,   0.532009
   2.708088,   0.000338,   0.536696
   2.707466,   0.000341,   0.541384
   2.706533,   0.000344,   0.546071
   2.705911,   0.000347,   0.550758
   2.705288,    0.00035,   0.555446
   2.704355,   0.000353,   0.560133
   2.703733,   0.000356,   0.564821
     2.7028,   0.000359,   0.569509
   2.701866,   0.000362,   0.574196
   2.701244,   0.000365,   0.578884
   2.700466,   0.000368,   0.583572
   2.699844,   0.000371,   0.588259
   2.698911,   0.000374,   0.592947
   2.698288,   0.000377,   0.597634
   2.697666,   0.000379,   0.602321
   2.696888,   0.000382,   0.607008
   2.695955,   0.000385,   0.611696
   2.695333,   0.000388,   0.616384
     2.6944,   0.000391,   0.621071
   2.693777,   0.000394,   0.625757
   2.692844,   0.000397,   0.630444
   2.692222,     0.0004,   0.635132
   2.691444,   0.000403,   0.639819
   2.690666,   0.000406,   0.644507
     2.6902,   0.000409,   0.649195
   2.689422,   0.000412,   0.653882
   2.688333,   0.000415,   0.658569
   2.687866,   0.000418,   0.663256
   2.686933,   0.000421,   0.667944
   2.686311,   0.000424,   0.672632
   2.685377,   0.000427,   0.677319
   2.684755,    0.00043,   0.682007
   2.684133,   0.000433,   0.686695
   2.683355,   0.000436,   0.691382
   2.682733,   0.000439,    0.69607
     2.6818,   0.000441,   0.700757
   2.680866,   0.000444,   0.705444
   2.680244,   0.000447,   0.710131
   2.679311,    0.00045,   0.714818
   2.678844,   0.000453,   0.719505
   2.677911,   0.000456,   0.724193
   2.677289,   0.000459,   0.728881
   2.676666,   0.000462,   0.733568
   2.675733,   0.000465,   0.738256
   2.675266,   0.000468,   0.742944
   2.674333,   0.000471,   0.747631
     2.6734,   0.000474,   0.752319
   2.672777,   0.000477,   0.757007
   2.671844,    0.00048,   0.761694
   2.671222,   0.000483,   0.766382
   2.670444,   0.000486,   0.771069
   2.669822,   0.000489,   0.775756
     2.6692,   0.000492,   0.780444
   2.668266,   0.000495,   0.785131
   2.667644,   0.000498,   0.789817
   2.666711,   0.000501,   0.794504
   2.665933,   0.000503,   0.799192
   2.665155,   0.000506,   0.803879
   2.664377,   0.000509,   0.808567
   2.663755,   0.000512,   0.813255
   2.662822,   0.000515,   0.817942
     2.6622,   0.000518,    0.82263
   2.661577,   0.000521,   0.827318
   2.660644,   0.000524,   0.832005
   2.660022,   0.000527,   0.836693
   2.659244,    0.00053,   0.841381
   2.658155,   0.000533,   0.846068
   2.657533,   0.000536,   0.850756
     2.6566,   0.000539,   0.855444
   2.656133,   0.000542,   0.860131
     2.6552,   0.000545,   0.864819
   2.654577,   0.000548,   0.869507
     2.6538,   0.000551,   0.874194
   2.653022,   0.000554,   0.878882
     2.6524,   0.000557,   0.883569
   2.651466,    0.00056,   0.888256
   2.650533,   0.000563,   0.892944
   2.649911,   0.000566,   0.897631
   2.648978,   0.000568,   0.902319
   2.648511,   0.000571,   0.907007
   2.647422,   0.000574,   0.911694
   2.646955,   0.000577,   0.916382
   2.646178,    0.00058,    0.92107
   2.645244,   0.000583,   0.925757
   2.644622,   0.000586,   0.930444
   2.643844,   0.000589,   0.935131
   2.642755,   0.000592,   0.939819
   2.642133,   0.000595,   0.944506
     2.6412,   0.000598,   0.949194
   2.640733,   0.000601,   0.953882
     2.6398,   0.000604,   0.958569
   2.639178,   0.000607,   0.963256
