Q [mAh],V [V]
0.006618,2.653748
0.013232,2.659035
0.019848,2.657636
0.026465,2.65437
0.033081,2.65126
0.039696,2.647062
0.046311,2.640375
0.052927,2.629023
0.059542,2.60041
0.066156,2.51908
0.066156,2.51908
0.072764,2.612384
0.072764,2.612384
0.079371,2.588125
0.085988,2.543339
0.085988,2.543339
0.092605,2.470562
0.092605,2.470562
0.099222,2.366218
0.105839,2.213355
0.112454,2.081175
0.119071,2.02115
0.125686,1.972943
0.132303,1.935155
0.138918,1.902499
0.145532,1.872642
0.152149,1.846828
0.158765,1.827389
0.165382,1.815882
0.171999,1.809662
0.178614,1.805463
0.185229,1.802197
0.191844,1.798932
0.198461,1.795666
0.205076,1.792867
0.211693,1.790534
0.218308,1.788513
0.224924,1.786958
0.231539,1.785247
0.238156,1.783381
0.244773,1.781049
0.251391,1.778872
0.258008,1.777161
0.264624,1.775295
0.271239,1.772962
0.277856,1.770008
0.284473,1.765965
0.291088,1.761766
0.297702,1.759433
0.304317,1.753369
0.310934,1.746837
0.317551,1.738595
0.324168,1.728021
0.330785,1.713404
0.337403,1.693343
0.34402,1.668151
0.350635,1.642804
0.357252,1.615746
0.363867,1.592575
0.370482,1.571582
0.377099,1.552455
0.383714,1.533639
0.390329,1.519332
0.396946,1.506425
0.403563,1.502071
0.41018,1.480145
0.416795,1.464749
0.42341,1.448421
0.430027,1.431005
0.436644,1.413121
0.443261,1.394616
0.449878,1.373467
0.456494,1.350297
0.463111,1.322928
0.469728,1.295714
0.476343,1.2699
0.482958,1.247352
0.489575,1.225892
0.496191,1.203033
