Q [mAh],V [V]
0.006616,1.97963
0.01323,1.964235
0.019847,1.952727
0.026463,1.930179
0.03308,1.920382
0.039694,1.911829
0.046309,1.904831
0.052925,1.900011
0.05954,1.894257
0.066155,1.887415
0.066155,1.887415
0.072771,1.88135
0.072771,1.88135
0.07937,1.893479
0.085986,1.887415
0.085986,1.887415
0.092603,1.88135
0.092603,1.88135
0.09922,1.873886
0.105837,1.864555
0.112452,1.848849
0.119069,1.833921
0.125684,1.823502
0.132301,1.812927
0.138916,1.803442
0.145531,1.794111
0.152148,1.785403
0.158763,1.778094
0.16538,1.773273
0.171997,1.77063
0.178612,1.769075
0.185227,1.767675
0.191842,1.766276
0.198459,1.76441
0.205074,1.762854
0.211691,1.76161
0.218306,1.760211
0.224923,1.758811
0.231538,1.757412
0.238154,1.75539
0.244772,1.752591
0.251389,1.750103
0.258006,1.747304
0.264623,1.744038
0.271237,1.740462
0.277854,1.735796
0.284471,1.729265
0.291086,1.720712
0.2977,1.714181
0.304316,1.696764
0.310933,1.682302
0.31755,1.663642
0.324167,1.640471
0.330784,1.613258
0.337401,1.585578
0.344018,1.555565
0.350633,1.536438
0.35725,1.515911
0.363865,1.493674
0.37048,1.473302
0.377097,1.452775
0.383712,1.432249
0.390327,1.408456
0.396944,1.386997
0.403561,1.36507
0.410178,1.342211
0.416793,1.318107
0.423408,1.291049
0.430025,1.265702
0.436642,1.240199
0.443259,1.216406
0.449876,1.192769
0.456493,1.168355
0.463109,1.14223
0.469726,1.113772
0.476341,1.085315
0.482956,1.056546
0.489573,1.029177
0.49619,1.002275
