Time [s],Voltage [V]
43200.003906,2.656081
55800.003906,2.664323
68400.0,2.670232
81000.5,2.670854
93601.507812,2.667588
106202.007812,2.664478
118802.507812,2.66028
131403.0,2.653904
144003.5,2.642396
156604.0,2.613783
169204.015625,2.531832
181805.015625,2.612384
194405.015625,2.601032
207006.015625,2.555624
219606.0,2.482692
232207.015625,2.378192
244807.515625,2.226262
257408.015625,2.091905
270008.0,2.031413
282608.0,1.982895
295208.5,1.945107
307809.0,1.91214
320409.0,1.882594
333009.53125,1.85678
345609.53125,1.837186
358210.03125,1.825523
370810.53125,1.818992
383411.03125,1.814638
396011.53125,1.811528
408611.53125,1.808418
421212.03125,1.805308
433812.53125,1.802353
446413.03125,1.799865
459013.53125,1.797688
471614.03125,1.795977
484214.03125,1.794422
496814.53125,1.792556
509415.03125,1.790379
522015.53125,1.788202
534616.0,1.78618
547216.5,1.784003
559816.5,1.781671
572417.5,1.778716
585018.0,1.774984
597618.0,1.770474
610218.5,1.769852
622818.5,1.763632
635419.0,1.756945
648019.5,1.749014
660620.0,1.73844
673220.5625,1.723667
685821.0625,1.703607
698421.5625,1.677637
711022.0625,1.651357
723622.0625,1.624143
736222.5625,1.600817
748823.0625,1.580135
761423.5625,1.561163
774024.0625,1.542658
786624.5625,1.52804
799225.0625,1.515133
811825.0625,1.502071
824426.0625,1.488853
837026.5625,1.473613
849626.5625,1.457441
862227.0625,1.439868
874828.0625,1.421985
887428.0625,1.40348
900028.5625,1.382176
912629.5625,1.359005
925230.0625,1.331947
937830.5625,1.304734
950431.0625,1.27892
963031.0625,1.256371
975631.5625,1.234912
988232.0625,1.211897
