Time [s],Voltage [V]
45000.003906,1.97963
57600.003906,1.964235
70200.5,1.952727
82801.007812,1.930179
95402.007812,1.920382
108002.007812,1.911829
120602.507812,1.904831
133203.0,1.900011
145803.5,1.894257
158404.0,1.887415
171004.515625,1.88135
183605.015625,1.893479
196205.515625,1.887415
208806.015625,1.88135
221406.515625,1.873886
234007.0,1.864555
246607.515625,1.848849
259208.015625,1.833921
271808.0,1.823502
284408.5,1.812927
297008.5,1.803442
309609.0,1.794111
322209.5,1.785403
334809.53125,1.778094
347410.03125,1.773273
360010.53125,1.77063
372610.53125,1.769075
385211.03125,1.767675
397811.53125,1.766276
410412.03125,1.76441
423012.03125,1.762854
435612.5,1.76161
448213.03125,1.760211
460814.03125,1.758811
473414.03125,1.757412
486014.53125,1.75539
498615.03125,1.752591
511215.0,1.750103
523816.03125,1.747304
536416.5,1.744038
549016.5,1.740462
561617.0,1.735796
574218.0,1.729265
586818.0,1.720712
599418.0,1.714181
612018.5,1.696764
624619.0,1.682302
637219.5,1.663642
649820.0,1.640471
662420.5625,1.613258
675020.5625,1.585578
687621.0,1.555565
700221.5625,1.536438
712822.0625,1.515911
725422.0625,1.493674
738022.5625,1.473302
750623.5625,1.452775
763223.5625,1.432249
775824.0625,1.408456
788425.0625,1.386997
801025.0625,1.36507
813625.5625,1.342211
826226.0625,1.318107
838826.5625,1.291049
851427.0625,1.265702
864027.5625,1.240199
876628.0625,1.216406
889228.5625,1.192769
901829.0625,1.168355
914429.5,1.14223
927030.5625,1.113772
939630.5625,1.085315
952231.0625,1.056546
964831.5625,1.029177
977432.0625,1.002275
