Q [mAh],V [V]
0.00577,2.653145
0.011538,2.646929
0.017305,2.615691
0.023074,2.561453
0.028842,2.475045
0.034611,2.350873
0.04038,2.157387
0.046149,1.990943
0.051917,1.892413
0.057686,1.840196
0.063453,1.843459
0.069222,1.838175
0.07499,1.826675
0.080759,1.816884
0.086528,1.810046
0.092297,1.804607
0.098067,1.800411
0.103836,1.798856
0.109603,1.796681
0.115373,1.794039
0.12114,1.79062
0.126909,1.786735
0.132679,1.782539
0.138448,1.778964
0.144215,1.775856
0.149985,1.771349
0.155754,1.763423
0.161521,1.748659
0.167289,1.720374
0.173056,1.678103
0.178824,1.640028
0.184593,1.608945
0.190361,1.585789
0.196128,1.568694
0.201898,1.552221
0.207665,1.533727
0.213433,1.513058
0.219202,1.490523
0.224971,1.46861
0.23074,1.445454
0.236509,1.419812
0.242279,1.386709
0.248048,1.344438
0.253817,1.299213
