Q [mAh],V [V]
0.005769,1.85123
0.011536,1.814242
0.017303,1.798235
0.023072,1.784714
0.02884,1.778964
0.034609,1.773991
0.040378,1.770261
0.046148,1.767153
0.051915,1.764822
0.057684,1.763112
0.063451,1.761558
0.069221,1.763578
0.074988,1.761869
0.080757,1.760626
0.086527,1.759538
0.092296,1.758295
0.098065,1.755808
0.103834,1.753477
0.109602,1.750369
0.115371,1.745396
0.121139,1.738713
0.126908,1.728767
0.132677,1.712915
0.138446,1.685096
0.144214,1.64298
0.149983,1.596668
0.155752,1.556883
0.16152,1.52176
0.167287,1.489901
0.173055,1.457732
0.178822,1.426805
0.184592,1.397899
0.190359,1.366661
0.196127,1.33387
0.201896,1.300301
0.207664,1.265179
0.213431,1.228502
0.2192,1.195866
0.224969,1.166804
0.230739,1.141161
0.236508,1.115674
0.242277,1.088167
0.248046,1.056618
0.253816,1.022739
