Time [s],Voltage [V]
43200.003906,2.684383
55800.503906,2.663092
68400.5,2.65672
81001.0,2.625949
93601.007812,2.570778
106201.007812,2.483748
118801.507812,2.358643
131402.0,2.163915
144002.5,1.996693
156603.0,1.898008
169203.515625,1.845635
181803.515625,1.848277
194404.015625,1.843304
207004.515625,1.831803
219604.515625,1.822168
232205.0,1.81533
244806.015625,1.810202
257406.015625,1.806005
270006.5,1.80414
282606.5,1.801965
295207.0,1.799167
307807.5,1.795904
320407.5,1.792174
333008.53125,1.787978
345609.03125,1.784248
358209.53125,1.78114
370810.03125,1.776633
383410.03125,1.768552
396010.53125,1.753632
408610.53125,1.725658
421211.03125,1.683542
433811.03125,1.645001
446411.53125,1.614229
459012.03125,1.590918
471612.53125,1.573823
484212.53125,1.557349
496813.03125,1.539011
509413.03125,1.518342
522013.53125,1.495652
534614.0,1.473739
547215.0,1.450272
559815.0,1.424785
572416.0,1.391682
585016.5,1.349566
597616.5,1.304342
