Time [s],Voltage [V]
45000.003906,1.85123
57600.503906,1.814242
70200.5,1.798235
82801.007812,1.784714
95401.007812,1.778964
108001.507812,1.773991
120602.007812,1.770261
133202.5,1.767153
145802.5,1.764822
158403.0,1.763112
171003.515625,1.761558
183604.015625,1.763578
196204.015625,1.761869
208804.515625,1.760626
221405.015625,1.759538
234005.515625,1.758295
246606.015625,1.755808
259206.515625,1.753477
271806.5,1.750369
284407.0,1.745396
297007.0,1.738713
309607.5,1.728767
322208.0,1.712915
334808.53125,1.685096
347409.03125,1.64298
360009.53125,1.596668
372610.03125,1.556883
385210.03125,1.52176
397810.53125,1.489901
410410.53125,1.457732
423011.03125,1.426805
435611.53125,1.397899
448211.53125,1.366661
460812.03125,1.33387
473412.53125,1.300301
486012.53125,1.265179
498613.03125,1.228502
511213.53125,1.195866
523814.03125,1.166804
536414.5,1.141161
549015.0,1.115674
561615.5,1.088167
574216.5,1.056618
586816.5,1.022739
