        1st,        1st,        1st
      V [V],    Q [mAh],Q/M [mAh/g]
   2.674437,1.595424E-6,   0.002312
    2.66045,4.786272E-6,   0.006937
   2.648172,7.990066E-6,    0.01158
   2.630922,1.119386E-5,   0.016223
   2.614914,1.439722E-5,   0.020866
   2.604813,1.760102E-5,   0.025509
   2.590515,2.080524E-5,   0.030153
   2.581501,2.400947E-5,   0.034796
   2.572798, 2.72137E-5,    0.03944
   2.560521,3.041749E-5,   0.044083
   2.552595,3.362129E-5,   0.048727
   2.541716,3.682552E-5,    0.05337
   2.534723,4.002974E-5,   0.058014
    2.52431,4.323397E-5,   0.062658
    2.51452, 4.64382E-5,   0.067302
   2.508303,4.964243E-5,   0.071946
    2.49929,5.284666E-5,   0.076589
   2.493384,5.605088E-5,   0.081233
   2.487634,5.925511E-5,   0.085877
   2.479552,6.245934E-5,   0.090521
   2.474113,6.566357E-5,   0.095165
   2.466498,6.886736E-5,   0.099808
   2.461369,7.207116E-5,   0.104451
   2.454065,7.527538E-5,   0.109095
   2.447072,7.847961E-5,   0.113739
   2.442409,8.168384E-5,   0.118382
   2.435727,8.488807E-5,   0.123026
   2.431375, 8.80923E-5,    0.12767
   2.427024,9.129652E-5,   0.132314
   2.420652,9.450075E-5,   0.136958
   2.416611,9.770498E-5,   0.141601
    2.41055,   0.000101,   0.146245
   2.406821,   0.000104,   0.150889
    2.40107,   0.000107,   0.155533
   2.395631,   0.000111,   0.160177
   2.391901,   0.000114,    0.16482
   2.386928,   0.000117,   0.169464
   2.383353,    0.00012,   0.174107
   2.379935,   0.000123,   0.178751
   2.374961,   0.000127,   0.183394
   2.371853,    0.00013,   0.188038
   2.367035,   0.000133,   0.192681
   2.364083,   0.000136,   0.197325
    2.35942,   0.000139,   0.201968
   2.354913,   0.000143,   0.206612
   2.352116,   0.000146,   0.211256
   2.347765,   0.000149,   0.215899
   2.345123,   0.000152,   0.220542
   2.342325,   0.000155,   0.225186
   2.338129,   0.000159,    0.22983
   2.335643,   0.000162,   0.234474
   2.331758,   0.000165,   0.239118
   2.327872,   0.000168,   0.243761
   2.325541,   0.000171,   0.248405
   2.321811,   0.000175,   0.253049
    2.31948,   0.000178,   0.257693
   2.315906,   0.000181,   0.262337
   2.313575,   0.000184,    0.26698
   2.311243,   0.000187,   0.271624
    2.30798,   0.000191,   0.276268
   2.305804,   0.000194,   0.280912
    2.30254,   0.000197,   0.285555
   2.299432,     0.0002,   0.290198
   2.297412,   0.000203,   0.294842
   2.294148,   0.000207,   0.299486
   2.292283,    0.00021,   0.304129
   2.289175,   0.000213,   0.308772
    2.28731,   0.000216,   0.313416
   2.285445,   0.000219,   0.318059
   2.282492,   0.000223,   0.322702
   2.280627,   0.000226,   0.327346
